id,nl,
no_webrtc,Je browser ondersteunt videobellen niet. Je gebruikt best Chrome voor Praatbox.,
no_cam,Praatbox kan geen camera (webcam) vinden. Je hebt een camera nodig om Praatbox te gebruiken.,
no_mic,Praatbox kan geen microfoon vinden. Je hebt een microfoon nodig om Praatbox te gebruiken.,
no_chrome,"Je gebruikt een andere webbrowser dan <a href=""https://www.google.com/intl/nl/chrome/"">Chrome</a>. Praatbox werkt het best in <a href=""https://www.google.com/intl/nl/chrome/"">Chrome</a>.",
mobile,Het lijkt erop dat je op een <strong>mobiel toestel</strong> werkt. Gelieve eerst te controleren of je de applicatie al ge&iuml,nstalleerd hebt.
install_app,Installeer de app,
errors,Je praatbox werkt mogelijk niet goed:,
link_copied,Link gekopieerd,
max_chars,Gelieve de naam en locatie van je praatbox te beperken tot maximaal 100 letters of cijfers.,
min_chars,Gelieve voor de naam van je praatbox minstens 5 letters of cijfers te voorzien.,
ttl_site,Praatbox.be,
no_js,Je hebt Javascript uitgeschakeld. Javascript is noodzakelijk voor Praatbox.,
intro,Met Praatbox kan je videobellen met iemand waar je geen fysiek contact mee mag hebben.,
ttl_how,Hoe gebruik je de Praatbox?,
step_1,"Geef je praatbox een naam. Bedenk een naam en vul die in het eerste veld in, of vul de naam in die je hebt gekregen.",
step_2,"Geef je praatbox een locatie. Vul dit in het tweede veld in, of vul hier de locatie in die je hebt gekregen.",
Step_3,"Kies een willekeurig woord, of hou de automatisch gemaakte keuze. Wil je deelnemen aan een bestaande Praatbox, kies dan het woord dat je hebt gekregen.",
Step_4,"Als je de vorige stappen hebt ondernomen, klik je op ""Start de praatbox""",
Step_5,"De praatbox start op! (Daarna kan je eventueel je praatbox beveiligen met een paswoord. Zie <i class=""fas fa-info-circle""> rechts onderaan)",
Step_6,"Je kan deze praatbox nu delen op allerlei verschillende manieren, het enige wat je moet doen is de link kopiëren.",
ttl_start,Start een Praatbox,
intro_faq,Heb je nog vragen? Misschien vind je ze terug bij de veelgestelde vragen. ,
warning_chars,Opgelet! Gebruik enkel cijfers en letters in de velden,
input_toolong,Input te lang,
lbl_name,Naam van je praatbox,
desc_name,Deze naam kan je helemaal zelf kiezen,
ex_name,bv.: Oma-Gent,
lbl_loc,Locatie van je praatbox,
desc_loc,Verwijzing naar je locatie,
ex_loc,"bv.: Sint-Niklaas, Gent, ...",
lbl_wrd,Willekeurig woord,
kaars,kaars,
kaart,kaart,
kaas,kaas,
kamer,kamer,
kans,kans,
kant,kant,
kantoor,kantoor,
kap,kap,
kast,kast,
kasteel,kasteel,
kat,kat,
kennen,kennen,
kennis,kennis,
keuken,keuken,
keus,keus,
kiezen,kiezen,
kijken,kijken,
kind,kind,
kip,kip,
kist,kist,
klaar,klaar,
klas,klas,
klasse,klasse,
kleden,kleden,
klein,klein,
kleren,kleren,
kleur,kleur,
klimmen,klimmen,
klok,klok,
kloppen,kloppen,
klopt,klopt,
knie,knie,
knippen,knippen,
koers,koers,
koffer,koffer,
koffie,koffie,
kok,kok,
koken,koken,
kom,kom,
komen,komen,
koning,koning,
koningin,koningin,
koorts,koorts,
kop,kop,
kopen,kopen,
kort,kort,
kost,kost,
kosten,kosten,
koud,koud,
kraam,kraam,
kracht,kracht,
krant,krant,
krijgen,krijgen,
kruis,kruis,
kuil,kuil,
kunnen,kunnen,
kunst,kunst,
btn_start,Start de praatbox,
url_footer,www.coronadenktank.be,
chan_header_1,Vul op www.praatbox.be,
chan_header_2,in om mee te doen.,
btn_copy,Kopieer link,
btn_whatsapp,Whatsapp,
ttl_faq,Veelgestelde vragen,
Faq_1,Wat gebeurt er als ik geen paswoord instel?,
faq_1_a,"Indien je geen paswoord instelt kan iedereen ter wereld het videogesprek bijwonen. Het is alsof de virtuele voordeur openstaat en iedereen plots in een gesprek kan inspringen. Dit kan soms verschieten zijn, dus we raden sterk aan om een paswoord in te stellen (ook voor privacy redenen kan dit noodzakelijk zijn).",
Faq_2,Hoe kan ik een paswoord toevoegen aan het kanaal?,
faq_2_a,De eerste persoon die het kanaal opstart kan een paswoord toe voegen door:,
faq_2_a_li_1,"* te klikken op <i class=""fas fa-info-circle""></i> (rechts onderaan in je scherm te vinden)",
faq_2_a_li_2,"* vervolgens op ""Add password"" klikken. Typ een sterk paswoord in het veld en druk op enter.",
faq_2_a_end,"Het paswoord is pas actief als je de tekst ""cancel password"" niet meer ziet, of ook als je de tekst ""remove password"" ziet. ",
faq_2_img,Beeld: Screenshot,
Faq_3,Kan ik een paswoord terug verwijderen?,
faq_3_a,"Ja, de eerste persoon (laptop / computer) die het videogesprek aangemaakt heeft kan een paswoord verwijderen door te klikken op ""remove password"".",
Faq_4,Wat is een sterk paswoord?,
faq_4_a,"Minstens 8 karakters, liefst een mix van letters en cijfers. Nog sterker is om een leesteken toe te voegen, maar dat is niet noodzakelijk.",
Faq_5,"Is het mogelijk om per bewoner een babbelbox sessie op te zetten, enkel voor zijn/haar familie?",
faq_5_a,"Door slim om te gaan met het laatste keuzewoord, kan je zelf een schema opstellen wanneer welke bewoner een babbelbox contactmoment heeft met enkel zijn/haar familie. <br/>Voorbeeld: <br/>Eerste woord: naam van je WZC<br/>Tweede woord: gemeente of iets anders<br/>Derde woord: dit kies je op voorhand voor elke bewoner. <br/><br/>Je spreekt dan bijvoorbeeld een schema af<br/>14:00 Bewoner Anna, derde woord is kip<br/>14:30 Bewoner Bert, derde woord is kat",
Faq_6,Ik krijg geen beeld te zien en/of mensen horen me niet,
faq_6_a,Bij het openen van het videogesprek vraagt je internetbrowser om toegang tot je microfoon en camera. Druk hier steeds op toestaan (allow). Het popupvenster dat je hiervoor te zien krijgt ziet er verschillend uit afhankelijk van je internet browser of besturingssysteem.,
faq_6_ttl_img,Enkele voorbeelden:,
faq_6_a_end,"Indien het niet lukt, probeer dan een andere internetbrowser om het videogesprek te openen. <br/>Google Chrome (https://www.google.com/intl/nl/chrome/) geeft (doorgaans) het minste problemen en kan je downloaden via https://www.google.com/intl/nl/chrome/ (https://www.google.com/intl/nl/chrome/).<br/>De Safari browser (standaard op Apple producten) wordt afgeraden.",
Faq_7,Hoe ziet een babbelbox sessie met meerdere deelnemers er uit?,
faq_7_a,De verschillende beelden komen dan naast en onder elkaar te staan:,
faq_7_img,"Beeld: Mozaïekbeeld van video's""",
Faq_8,Hoe stel ik de taal in?,
faq_8_a,"Klik op ""Settings"" (instellingen), vervolgens op ""More"" (meer) en in het Language (taal) menu kan je bijvoorbeeld ""Dutch""(nederlands) (of een andere taal) selecteren. Klik op OK.",
Faq_9,Het beeld hapert soms,
